# A B A' B' AB AA' BB' A'B'
0 28178 0 22282 0 0 0 792
0 25563 0 19856 0 0 0 704
0 25289 0 19888 0 0 0 726
0 25525 0 19934 0 0 0 732
0 25369 0 19629 0 0 0 732
0 25505 0 19857 0 0 0 737
0 25289 0 19865 0 0 0 735
0 25409 0 19596 0 0 0 745
0 25464 0 19583 0 0 0 699
0 25419 0 19635 0 0 0 741
0 25296 0 19769 0 0 0 732
0 25370 0 20234 0 0 0 732
0 25244 0 19829 0 0 0 730
0 25371 0 19662 0 0 0 701
0 25478 0 20053 0 0 0 752
0 25097 0 19794 0 0 0 693
0 25310 0 20127 0 0 0 744
0 24924 0 19452 0 0 0 733
0 25308 0 19585 0 0 0 674
0 25510 0 19581 0 0 0 743
0 25330 0 19820 0 0 0 695
0 25528 0 19606 0 0 0 717
0 25392 0 19723 0 0 0 748
0 25357 0 19696 0 0 0 690
0 25451 0 19890 0 0 0 758
0 25333 0 19848 0 0 0 777
0 25355 0 19635 0 0 0 758
0 25417 0 20039 0 0 0 728
0 25239 0 19357 0 0 0 701
0 25372 0 19736 0 0 0 718
0 25434 0 19733 0 0 0 711
0 25600 0 19979 0 0 0 757
0 25710 0 19652 0 0 0 760
0 25482 0 19978 0 0 0 709
0 25316 0 19528 0 0 0 727
0 25537 0 19769 0 0 0 765
0 25357 0 19795 0 0 0 744
0 25241 0 19544 0 0 0 734
0 25101 0 19589 0 0 0 706
0 25290 0 19667 0 0 0 777
0 25451 0 19519 0 0 0 726
0 25365 0 19674 0 0 0 690
0 25110 0 19785 0 0 0 719
0 25315 0 19694 0 0 0 687
0 25253 0 19734 0 0 0 720
0 25179 0 19545 0 0 0 748
0 25095 0 19964 0 0 0 718
0 25355 0 19817 0 0 0 726
0 28012 0 19901 0 0 0 735
0 28605 0 19460 0 0 0 766
0 28252 0 19759 0 0 0 746
0 28349 0 19694 0 0 0 723
0 28119 0 19630 0 0 0 715
0 28179 0 21897 0 0 0 718
0 28376 0 22069 0 0 0 710
0 28206 0 21839 0 0 0 716
0 28025 0 21598 0 0 0 693
0 28118 0 21931 0 0 0 754
0 28226 0 22173 0 0 0 701
0 28031 0 22102 0 0 0 765
