# A B A' B' AB AA' BB' A'B'
0 28842 0 25019 0 0 0 810
0 28751 0 24723 0 0 0 823
0 28459 0 25086 0 0 0 800
0 28820 0 24190 0 0 0 892
0 28619 0 24310 0 0 0 900
0 28277 0 24282 0 0 0 874
0 25865 0 21837 0 0 0 785
0 25501 0 21868 0 0 0 836
0 25328 0 22153 0 0 0 784
0 25584 0 21767 0 0 0 792
0 25618 0 21814 0 0 0 788
0 26116 0 21995 0 0 0 811
0 25618 0 21997 0 0 0 824
0 25577 0 22236 0 0 0 810
0 25407 0 22166 0 0 0 807
0 25933 0 21925 0 0 0 761
0 25889 0 22046 0 0 0 778
0 25714 0 21945 0 0 0 824
0 26066 0 21925 0 0 0 830
0 25598 0 21710 0 0 0 850
0 25758 0 22108 0 0 0 814
0 25669 0 22015 0 0 0 787
0 25853 0 22185 0 0 0 831
0 26038 0 21833 0 0 0 759
0 25809 0 21933 0 0 0 827
0 25672 0 21522 0 0 0 707
0 25564 0 21931 0 0 0 783
0 25711 0 22063 0 0 0 795
0 25727 0 22232 0 0 0 837
0 25819 0 21994 0 0 0 800
0 25538 0 21999 0 0 0 781
0 25633 0 21739 0 0 0 790
0 25597 0 21732 0 0 0 785
0 25709 0 21667 0 0 0 811
0 25977 0 21927 0 0 0 806
0 25727 0 21723 0 0 0 812
0 25384 0 21590 0 0 0 759
0 25799 0 22079 0 0 0 793
0 26031 0 21807 0 0 0 810
0 25508 0 21750 0 0 0 797
0 25752 0 22184 0 0 0 827
0 25571 0 21830 0 0 0 800
0 25616 0 22014 0 0 0 794
0 25958 0 21951 0 0 0 766
0 26011 0 21950 0 0 0 793
0 25598 0 21883 0 0 0 763
0 25647 0 21788 0 0 0 777
0 25765 0 21967 0 0 0 782
0 25732 0 21954 0 0 0 814
0 25846 0 21996 0 0 0 837
0 25690 0 22124 0 0 0 811
0 28653 0 22092 0 0 0 811
0 28467 0 21821 0 0 0 787
0 28363 0 21892 0 0 0 804
0 28836 0 21839 0 0 0 780
0 28255 0 24401 0 0 0 790
0 28455 0 24899 0 0 0 799
0 28743 0 24508 0 0 0 780
0 28686 0 24205 0 0 0 824
0 28657 0 24142 0 0 0 839
