# A B A' B' AB AA' BB' A'B'
0 27058 0 23211 0 0 0 531
0 24535 0 20780 0 0 0 439
0 24020 0 21200 0 0 0 438
0 24363 0 21002 0 0 0 490
0 24042 0 21061 0 0 0 445
0 24179 0 21068 0 0 0 447
0 24516 0 20996 0 0 0 438
0 24347 0 20600 0 0 0 485
0 23890 0 20613 0 0 0 492
0 23813 0 20531 0 0 0 429
0 24198 0 20387 0 0 0 475
0 24182 0 20500 0 0 0 485
0 24022 0 20578 0 0 0 444
0 24018 0 20673 0 0 0 477
0 23855 0 20501 0 0 0 456
0 24255 0 20743 0 0 0 498
0 24295 0 20561 0 0 0 451
0 23831 0 20249 0 0 0 445
0 23928 0 20596 0 0 0 462
0 23721 0 20862 0 0 0 436
0 23867 0 20361 0 0 0 427
0 24068 0 20722 0 0 0 463
0 26340 0 20550 0 0 0 473
0 26111 0 20637 0 0 0 452
0 26577 0 20730 0 0 0 484
0 26440 0 22908 0 0 0 447
0 26657 0 22718 0 0 0 468
0 26411 0 22903 0 0 0 468
0 26724 0 22688 0 0 0 450
0 26639 0 22808 0 0 0 469
0 26793 0 23058 0 0 0 430
0 26746 0 23023 0 0 0 476
0 26518 0 22890 0 0 0 490
0 26733 0 22792 0 0 0 533
0 26624 0 22923 0 0 0 516
0 23902 0 20590 0 0 0 489
0 23875 0 20591 0 0 0 471
0 23889 0 20605 0 0 0 446
0 23913 0 20578 0 0 0 454
0 24219 0 20705 0 0 0 441
0 24015 0 20532 0 0 0 464
0 23871 0 20655 0 0 0 455
0 23831 0 20571 0 0 0 463
0 23995 0 20563 0 0 0 407
0 23883 0 20451 0 0 0 464
0 24002 0 20442 0 0 0 460
0 24315 0 20275 0 0 0 482
0 23868 0 20520 0 0 0 426
0 23982 0 20535 0 0 0 464
0 23921 0 20704 0 0 0 443
0 24320 0 20504 0 0 0 477
0 24403 0 20617 0 0 0 460
0 24172 0 20556 0 0 0 499
0 24012 0 20619 0 0 0 488
0 24137 0 20731 0 0 0 454
0 23942 0 20747 0 0 0 431
0 23878 0 20571 0 0 0 470
0 23745 0 20704 0 0 0 477
0 23673 0 20540 0 0 0 496
0 23965 0 20617 0 0 0 398
