# A B A' B' AB AA' BB' A'B'
0 28324 0 21888 0 0 0 708
0 25526 0 19625 0 0 0 673
0 25236 0 19591 0 0 0 668
0 25267 0 19576 0 0 0 653
0 25710 0 19827 0 0 0 660
0 25647 0 19808 0 0 0 652
0 25508 0 19735 0 0 0 687
0 25209 0 19824 0 0 0 685
0 25607 0 19887 0 0 0 687
0 25420 0 19666 0 0 0 610
0 25502 0 19559 0 0 0 671
0 25544 0 19799 0 0 0 674
0 25581 0 19554 0 0 0 667
0 25576 0 19748 0 0 0 658
0 25375 0 19489 0 0 0 665
0 25241 0 19529 0 0 0 661
0 25400 0 19838 0 0 0 680
0 25421 0 19827 0 0 0 650
0 25383 0 19522 0 0 0 650
0 25422 0 19616 0 0 0 692
0 25347 0 19609 0 0 0 661
0 25321 0 19580 0 0 0 666
0 25391 0 19620 0 0 0 706
0 25690 0 19801 0 0 0 664
0 25422 0 19717 0 0 0 688
0 25481 0 19732 0 0 0 650
0 25304 0 19637 0 0 0 665
0 25587 0 19526 0 0 0 640
0 25595 0 19531 0 0 0 683
0 25261 0 19668 0 0 0 690
0 25418 0 19551 0 0 0 666
0 25177 0 19576 0 0 0 612
0 25207 0 19638 0 0 0 647
0 25286 0 19714 0 0 0 687
0 25327 0 19700 0 0 0 660
0 25265 0 19617 0 0 0 658
0 25456 0 19261 0 0 0 631
0 25357 0 19581 0 0 0 675
0 25672 0 19500 0 0 0 654
0 25572 0 19695 0 0 0 674
0 25468 0 19666 0 0 0 698
0 25407 0 19444 0 0 0 658
0 25101 0 19466 0 0 0 659
0 25374 0 19637 0 0 0 688
0 25402 0 19690 0 0 0 699
0 25444 0 19793 0 0 0 657
0 28241 0 19682 0 0 0 694
0 28129 0 19631 0 0 0 673
0 27961 0 19422 0 0 0 658
0 28216 0 21781 0 0 0 650
0 27974 0 21881 0 0 0 682
0 28291 0 21839 0 0 0 646
0 28227 0 21515 0 0 0 642
0 28078 0 21843 0 0 0 680
0 28224 0 21438 0 0 0 648
0 28055 0 22187 0 0 0 677
0 28319 0 21958 0 0 0 789
0 28119 0 21745 0 0 0 779
0 25407 0 19752 0 0 0 641
0 25337 0 19695 0 0 0 629
