# A B A' B' AB AA' BB' A'B'
0 31438 0 23011 0 0 0 229
0 31694 0 20764 0 0 0 190
0 31672 0 22594 0 0 0 201
0 31556 0 22322 0 0 0 207
0 31398 0 22588 0 0 0 182
0 31112 0 22346 0 0 0 195
0 31264 0 22489 0 0 0 210
0 31511 0 22502 0 0 0 210
0 31397 0 22521 0 0 0 199
0 31449 0 22646 0 0 0 221
0 31299 0 22230 0 0 0 211
0 28209 0 20270 0 0 0 175
0 27958 0 20107 0 0 0 216
0 28530 0 20180 0 0 0 198
0 28186 0 20729 0 0 0 201
0 28246 0 20373 0 0 0 189
0 27934 0 20348 0 0 0 197
0 27712 0 20404 0 0 0 183
0 28607 0 20282 0 0 0 171
0 28300 0 20302 0 0 0 200
0 28361 0 20164 0 0 0 217
0 28055 0 20284 0 0 0 183
0 28001 0 20600 0 0 0 194
0 27866 0 20116 0 0 0 184
0 27913 0 20280 0 0 0 162
0 28177 0 20314 0 0 0 184
0 27781 0 20251 0 0 0 190
0 28197 0 20336 0 0 0 189
0 28392 0 20353 0 0 0 178
0 28129 0 20207 0 0 0 182
0 27689 0 20332 0 0 0 186
0 27860 0 20196 0 0 0 196
0 27983 0 20376 0 0 0 209
0 28270 0 20225 0 0 0 193
0 27962 0 20293 0 0 0 183
0 27962 0 20144 0 0 0 159
0 28279 0 20102 0 0 0 216
0 28287 0 20322 0 0 0 186
0 28345 0 20550 0 0 0 190
0 28294 0 20198 0 0 0 197
0 28182 0 20305 0 0 0 206
0 28196 0 20085 0 0 0 209
0 27894 0 20066 0 0 0 175
0 28262 0 20420 0 0 0 190
0 28446 0 20131 0 0 0 203
0 27808 0 20596 0 0 0 180
0 28068 0 20358 0 0 0 199
0 28422 0 20300 0 0 0 193
0 28538 0 20098 0 0 0 191
0 28321 0 20274 0 0 0 189
0 27892 0 20217 0 0 0 174
0 28039 0 20497 0 0 0 185
0 28566 0 20368 0 0 0 207
0 28199 0 20597 0 0 0 180
0 28057 0 20031 0 0 0 189
0 28018 0 20310 0 0 0 184
0 31318 0 20412 0 0 0 204
0 31379 0 20109 0 0 0 171
0 31382 0 20217 0 0 0 192
0 31305 0 20322 0 0 0 202
