# A B A' B' AB AA' BB' A'B'
0 24204 0 14809 0 0 0 185
0 22058 0 13399 0 0 0 181
0 22137 0 13431 0 0 0 176
0 22034 0 13632 0 0 0 172
0 21867 0 13279 0 0 0 160
0 21539 0 13267 0 0 0 184
0 22416 0 13379 0 0 0 169
0 22594 0 13245 0 0 0 150
0 22492 0 13195 0 0 0 168
0 22543 0 13399 0 0 0 174
0 22481 0 13043 0 0 0 151
0 22456 0 13180 0 0 0 171
0 22381 0 13398 0 0 0 169
0 22217 0 13082 0 0 0 199
0 22439 0 13294 0 0 0 174
0 22231 0 13438 0 0 0 210
0 22271 0 13110 0 0 0 170
0 22400 0 13305 0 0 0 201
0 21946 0 13319 0 0 0 175
0 22119 0 13399 0 0 0 161
0 21602 0 13309 0 0 0 176
0 22434 0 13304 0 0 0 186
0 22264 0 13408 0 0 0 173
0 22045 0 13137 0 0 0 177
0 21859 0 13354 0 0 0 187
0 21924 0 13273 0 0 0 173
0 22351 0 12986 0 0 0 194
0 22063 0 13292 0 0 0 176
0 22068 0 13141 0 0 0 165
0 21955 0 13162 0 0 0 181
0 21991 0 13286 0 0 0 171
0 21884 0 13288 0 0 0 165
0 22107 0 13304 0 0 0 164
0 22120 0 13370 0 0 0 184
0 24649 0 13376 0 0 0 171
0 24431 0 13366 0 0 0 183
0 24677 0 13041 0 0 0 152
0 24247 0 13243 0 0 0 178
0 24693 0 14803 0 0 0 147
0 24434 0 14755 0 0 0 162
0 24428 0 14551 0 0 0 178
0 24423 0 14761 0 0 0 163
0 24740 0 14852 0 0 0 184
0 24534 0 14433 0 0 0 172
0 24314 0 14548 0 0 0 200
0 24389 0 14616 0 0 0 233
0 24416 0 14807 0 0 0 205
0 24277 0 14795 0 0 0 206
0 21754 0 13093 0 0 0 176
0 21919 0 13091 0 0 0 149
0 21709 0 13038 0 0 0 179
0 21505 0 13129 0 0 0 162
0 21941 0 13120 0 0 0 181
0 21621 0 13064 0 0 0 176
0 21940 0 13042 0 0 0 169
0 21797 0 13116 0 0 0 165
0 21748 0 13148 0 0 0 168
0 21632 0 12900 0 0 0 162
0 21761 0 13135 0 0 0 184
0 22149 0 13061 0 0 0 195
